"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"2038891259851624874","Tue Mar 31 08:08:51 +0000 2026","7251","Alhamdulillah ya Allah aku lulus SNBP https://t.co/ozUza5bM1z","2038891259851624874","https://pbs.twimg.com/media/HEuYy7qboAAmSBF.jpg","","in","","259","195","813","https://x.com/undefined/status/2038891259851624874","1497532494933262337",
"2038907937909813573","Tue Mar 31 09:15:08 +0000 2026","6155","Sch! TOLONGG KASIH TIPS BELAJAR UTBK DARI 0 DI H-20 GINIII!!! AKU DITOLAK SNBP!! Pls jangan promosi ","2038907937909813573","","","in","","29","79","700","https://x.com/undefined/status/2038907937909813573","1201673806156161025",
"2038900509667672248","Tue Mar 31 08:45:37 +0000 2026","7995","tahun lalu aku juga dapet merah di SNBP 2025 tapi aku berhasil lolos SNBT dengan belajar h-sebulan kalo aku bikin thread apa yang aku lakuin buat lolos SNBT ada yang mau gak ya? Let me know ya! ⭐️ https://t.co/f5yMUyfMVv","2038900509667672248","https://pbs.twimg.com/media/HEuhNOsawAABR5j.jpg","","in","","24","636","649","https://x.com/undefined/status/2038900509667672248","1280296297270882304",
"2038831758125478317","Tue Mar 31 04:12:25 +0000 2026","12911","adek adek snbp unpad 2026 kalo pengumumannya delay rektorat nya lg di demo akwowkwo https://t.co/rqyW52WfW4","2038831758125478317","https://pbs.twimg.com/media/HEtirNhakAA-oGc.jpg","","in","","228","118","392","https://x.com/undefined/status/2038831758125478317","1723611153191014400",
"2038913740226388414","Tue Mar 31 09:38:11 +0000 2026","4914","️ dari SD OSN gagal terus ️ gagal lomba yang lain ️ gagal PTLN ️ gagal SNBP ️ https://t.co/QiUzBGOT6Z","2038913740226388414","https://pbs.twimg.com/media/HEutPe4bYAA9qFe.jpg","","in","","103","79","426","https://x.com/undefined/status/2038913740226388414","1413702254251577346",
"2038889715169218774","Tue Mar 31 08:02:43 +0000 2026","18302","demi apa sih lolos snbp stei-k itb ⁉️ #snbp2026 https://t.co/AglR7tZYvZ","2038889715169218774","https://pbs.twimg.com/media/HEuXY6rasAAvOQG.jpg","","in","","246","708","612","https://x.com/undefined/status/2038889715169218774","1610973894974001155",
"2038892446084653366","Tue Mar 31 08:13:34 +0000 2026","25113","ALHAMDULILLAHHHH JADI PEMBUKA BUAT DEKEL ITUUU https://t.co/6fpHoqxGJ4","2038892446084653366","https://pbs.twimg.com/media/HEuZ3yWagAA7WF_.jpg","","in","","492","369","880","https://x.com/undefined/status/2038892446084653366","1749416269055741952",
"2040410623532810579","Sat Apr 04 12:46:16 +0000 2026","8122","emg snbp tuh ghaib bgt yh... di sekolah gw eli 126 dapet biru di prodi dan univ yg sama kaya gw... pdhl gw eli 14 sakit hati bgt gw","2040410623532810579","","","in","","189","155","91","https://x.com/undefined/status/2040410623532810579","1542975110856187904",
"2038889582293582083","Tue Mar 31 08:02:11 +0000 2026","6175","alhamdulillah furab lolos snbp https://t.co/Aohe515C6i","2038889582293582083","https://pbs.twimg.com/media/HEuXRGEbsAAPn_U.jpg","","in","","163","156","954","https://x.com/undefined/status/2038889582293582083","1763208453110067208",
"2038890162718220777","Tue Mar 31 08:04:30 +0000 2026","7214","GUYS AKU LOLOS TEKKIM UNDIPPP https://t.co/LdYJCR7bOz","2038890162718220777","https://pbs.twimg.com/media/HEuXyynawAAZGKO.jpg","","in","","33","404","256","https://x.com/undefined/status/2038890162718220777","1693437971469570048",
"2038900201306661061","Tue Mar 31 08:44:23 +0000 2026","3229","pengumuman tahun lalu pernah di up kenapa hastagnya snbp 2026???????? https://t.co/mllMgBAkzG","2038900201306661061","https://pbs.twimg.com/media/HEug7OZaoAAgC5f.jpg","","in","","122","142","25","https://x.com/undefined/status/2038900201306661061","1545808950074912768",
"2038963499431546973","Tue Mar 31 12:55:55 +0000 2026","6369","Banyak anak juara Olim nasional internasional puspernas OSN dan kejuaraan lain DITOLAK SNBP bahkan mereka berasal dari sekolah bagus. Fenomena ini cukup bikin bertanya-tanya meanwhile untuk jurusan yang sama ada anak yang nilai rapor jauh dibawah tanpa sertif diterima.","2038963499431546973","","","in","","215","72","405","https://x.com/undefined/status/2038963499431546973","1142098978344849408",
"2039008359047975405","Tue Mar 31 15:54:10 +0000 2026","7452","Alhamdulillah guys aku juga diterima di PTLN di hari yg sama https://t.co/VqjVMYY2wD","2039008359047975405","https://pbs.twimg.com/media/HEwDSx_aIAA4Ofo.jpg","","in","","53","139","154","https://x.com/undefined/status/2039008359047975405","1909869866259300354",
"2039051762049720342","Tue Mar 31 18:46:38 +0000 2026","35846","Ya Allah gua gak habis pikir... baru dpt cerita ada yg keterima SNBP Peminatan Kimia FMIPA-IPA ITB tapi dia malah nolak karena dia lebih pilih jadi polisi???? anjjjj gue drtd nangis deres bgt babii tega bgt lu bikin akt di bawah lu kena dampak blacklist ","2039051762049720342","","","in","","754","313","1837","https://x.com/undefined/status/2039051762049720342","1523684540547764224",
"2038466026598515034","Mon Mar 30 03:59:08 +0000 2026","929"," COUNTDOWN PENGUMUMAN SNBP Degdegannya ada banget gusy https://t.co/arUeSG4dzC","2038466026598515034","https://pbs.twimg.com/media/HEoVc4baIAA-98u.jpg","","in","","63","46","74","https://x.com/undefined/status/2038466026598515034","1110709339",
"2038906267901857948","Tue Mar 31 09:08:29 +0000 2026","11366","when Adrian punk snbp nya merah https://t.co/UwoEO1mAWt","2038906267901857948","https://pbs.twimg.com/media/HEumW9sawAAl7Fb.jpg","","in","","445","118","1671","https://x.com/undefined/status/2038906267901857948","1727603080823513088",
"2038878124394656077","Tue Mar 31 07:16:40 +0000 2026","5821","ternyata ga berharap di snbp itu bullshit ya?","2038878124394656077","","","in","","171","58","1310","https://x.com/undefined/status/2038878124394656077","1452571648725446660",
"2038987955151495621","Tue Mar 31 14:33:05 +0000 2026","25712","stlh pengumuman td aku ngilang dr cowoku krn dia lolos snbp (aku ngerasa malu sm dia soalnya ak gagal) trs aku kluar buat belajar tp aku ga blg dan tbtb dia nyamperin ak‍️krn aku nngis ga berenti jd aku jwb smua omongan dia dgn nulis di buku tp bagian yg ga dia suka di coret https://t.co/mzByiWWJPO","2038987955151495621","https://pbs.twimg.com/media/HEvwvVRawAA_98L.jpg","","in","","1503","628","1383","https://x.com/undefined/status/2038987955151495621","1277411622827356160",
"2039304271171141929","Wed Apr 01 11:30:01 +0000 2026","2070","Keren banget abangnya lulus SNBP di IPB.. selamat! Semoga kelak menjadi orang yang sukses! Buat temen-teman yang belum lulus didoakan bisa masuk ke perguruan tinggi favorit.. https://t.co/cRwMx4E1tI","2039304271171141929","https://pbs.twimg.com/amplify_video_thumb/2039250284300611584/img/G5Zw2y9wvoEgB558.jpg","","in","","6","32","115","https://x.com/undefined/status/2039304271171141929","155157511",
"2038515519595426034","Mon Mar 30 07:15:48 +0000 2026","4865","oh selama ini gak bisa pkpm karena diloloskan snbp ya.... :v kabulkan doaku yaallah :v","2038515519595426034","","","in","","70","24","1231","https://x.com/undefined/status/2038515519595426034","1872628969901842432",
"2038900782129664198","Tue Mar 31 08:46:42 +0000 2026","2404","terimakasih ya Allah 1 dari 13 org yang snbp UI https://t.co/lGMIpKXrq6","2038900782129664198","https://pbs.twimg.com/media/HEuhc8pakAAGDX2.jpg","","in","","13","65","62","https://x.com/undefined/status/2038900782129664198","2003487128483930112",
"2039687077596713175","Thu Apr 02 12:51:09 +0000 2026","3208","oh selama ini gak bisa pkpm emang disuruh belajar bukan lolos snbp.... :v","2039687077596713175","","","in","","76","35","614","https://x.com/undefined/status/2039687077596713175","1872628969901842432",
"2038959156670169481","Tue Mar 31 12:38:39 +0000 2026","7650","mungkin aku digagalin di snbp supaya ga semena-mena dan take it for granted. mungkin di saat aku mencapai apa yg aku mau aku bisa lebih menghargai setiap perjalanan aku dan jujur aja ini ga akan bisa ku dapatin dari lolos snbp karena memang aku semales malesan itu","2038959156670169481","","","in","","147","44","2380","https://x.com/undefined/status/2038959156670169481","1481896730967027712",
"2039337010914074978","Wed Apr 01 13:40:07 +0000 2026","916","Aku salah banget terlalu berharap sama snbp baru sekarang mau lock in utebebek tolong saran tempat drill soal dan TO yg worth di H-20 sch! semoga ga telat banget ","2039337010914074978","","","in","","0","30","41","https://x.com/undefined/status/2039337010914074978","1201673806156161025",
"2038591343229108319","Mon Mar 30 12:17:06 +0000 2026","3983","udah H-1 SNBP nih semoga semua yang baca ini lolos SNBP 2026 ya! https://t.co/S89q4kl6eO","2038591343229108319","https://pbs.twimg.com/media/HEqIBgzbMAALMkM.jpg","","in","","42","43","455","https://x.com/undefined/status/2038591343229108319","1796770205764648960",
"2038749962159472979","Mon Mar 30 22:47:23 +0000 2026","3961","UDAHH SIAPP BELUM HARI INI JADI MABA PTN! JALUR SNBP?","2038749962159472979","","","in","","313","404","440","https://x.com/undefined/status/2038749962159472979","1205629250423779328",
"2038931591289049333","Tue Mar 31 10:49:07 +0000 2026","4821","tapi kalian tau ngga sih kalau SNBP tuh singkatan dari suka nyawit bareng prabowo https://t.co/8zscP3Ajdj","2038931591289049333","https://pbs.twimg.com/media/HEu9eitbQAAq4ks.jpg","","in","","112","62","1021","https://x.com/undefined/status/2038931591289049333","1713951472453619712",
"2040210271994785915","Fri Apr 03 23:30:08 +0000 2026","13099","Maaf ya gen ask Mark Mark ini siapa si yang dimaksud? terus kenapa kalo dia keterima SNBP! ? kok kaya diheboh-hebohkan bangettt https://t.co/4GAPns5sWE","2040210271994785915","https://pbs.twimg.com/media/HFBIbc3aEAAOJoC.jpg","","in","","391","286","911","https://x.com/undefined/status/2040210271994785915","1205629250423779328",
"2038763903413567996","Mon Mar 30 23:42:47 +0000 2026","3072","Selamat ya https://t.co/poEpZQvx0d","2038763903413567996","https://pbs.twimg.com/media/HEsk9zFaIAAYPWe.jpg","","in","","30","16","521","https://x.com/undefined/status/2038763903413567996","1304292109470498816",
"2037468069313020097","Fri Mar 27 09:53:36 +0000 2026","2635","mau bgttt lolos snbp... https://t.co/BcJULziJpN","2037468069313020097","https://pbs.twimg.com/media/HEaKaGLbwAEUwH4.jpg","","in","","8","0","562","https://x.com/undefined/status/2037468069313020097","1528357944143753216",
"2037459692813975646","Fri Mar 27 09:20:19 +0000 2026","2591","CIEEE 4 HARI LAGI ADA YANG LOLOS SNBP NIH","2037459692813975646","","","in","","91","68","512","https://x.com/undefined/status/2037459692813975646","1261592242499645441",
"2038566446360596960","Mon Mar 30 10:38:10 +0000 2026","6120"," BANGUN BANGUNN!!! LBE UTBK 2026 bakal ada soal saintek &amp; soshum ?? Akt. 26 jadi angkatan uji coba beneran ini wkwkw.. Mulai TKA daya tampung SNBP ga keluar2 eh muncul lagi yg baru. https://t.co/V0ZOS9ObbZ https://t.co/KxGheMhGRH","2038566446360596960","https://pbs.twimg.com/media/HEpxBNXaIAAxdsc.jpg","","in","","1145","208","589","https://x.com/undefined/status/2038566446360596960","1304292109470498816",
"2038586647852527993","Mon Mar 30 11:58:26 +0000 2026","770","Jujur siapa yang tiap hari scrolling hashtag #IPBuniversity cuma buat liatin foto kampusnya? Siapa yang udah di tahap 'gak sabar banget' buat resmi jadi bagian dari keluarga besar IPB? ️ #HarmoniKarya #MРКMBІPB63 #snbp https://t.co/ADeB4SHzGD","2038586647852527993","https://pbs.twimg.com/amplify_video_thumb/2038586585567084545/img/2Yjv-2xaSEnnzOYj.jpg","","in","","36","41","167","https://x.com/undefined/status/2038586647852527993","305533080",
"2038889094512840717","Tue Mar 31 08:00:15 +0000 2026","548","Halo Calon Mahasiswa Baru UI Jalur SNBP! Hari ini bukan hari biasa. Hari ini adalah jawaban atas setiap usaha dan doa yang kamu perjuangkan. Untuk kamu yang berhasil selamat. Kamu selangkah lebih dekat dengan mimpimu. Untuk kamu yang belum terima kasih sudah bertahan https://t.co/n1TWlW1oaV","2038889094512840717","https://pbs.twimg.com/media/HEuW0m1aAAAHLGH.jpg","","in","","42","18","83","https://x.com/undefined/status/2038889094512840717","74646907",
"2037157290302988791","Thu Mar 26 13:18:41 +0000 2026","6024","MBTI AKU BERUBAH DRI ENFJ JADI SNBP","2037157290302988791","","","in","","133","58","1208","https://x.com/undefined/status/2037157290302988791","1689133433338109952",
"2037946496042320302","Sat Mar 28 17:34:42 +0000 2026","4143","Lolos snbp janji belajar us ya allah","2037946496042320302","","","in","","122","39","1158","https://x.com/undefined/status/2037946496042320302","1805075420494352384",
"2040782015281426780","Sun Apr 05 13:22:02 +0000 2026","143","h-16 UTBK. Kurangi penggunaan media sosial super2 penting buat jaga ritme belajar &amp; fokus. Demi hasil yg terbaik. Jika kamu diminta buat uninstall 2 app apa yg bakal kamu pilih untuk dihapus dr hp? https://t.co/MTO7PdkUXx","2040782015281426780","https://pbs.twimg.com/media/HFJP7F7aIAAr7RA.png","","in","","6","26","12","https://x.com/undefined/status/2040782015281426780","1304292109470498816",
"2038968336285933646","Tue Mar 31 13:15:08 +0000 2026","11381","dapet hadiah dari bapak karna lolos snbp https://t.co/XQ7VTo6ayV","2038968336285933646","https://pbs.twimg.com/media/HEve5YAWwAE8Vcq.jpg","","in","","78","351","205","https://x.com/undefined/status/2038968336285933646","3543491593",
"2041044340555100428","Mon Apr 06 06:44:26 +0000 2026","20","selamat hari senin semoga yang .sakit jadi sembuh .mager jadi rajin .kesusahan jadi dimudahkan .berat jadi ringan .gamon jadi move on .ga elig jadi elig .ga lulus SNBP jadi lulus SNBT .yang iri dengki panas jadi kebakar . https://t.co/cIftemHrFc","2041044340555100428","https://pbs.twimg.com/media/HFM--8naQAALN-s.jpg","","in","","0","7","0","https://x.com/undefined/status/2041044340555100428","1397102907422502916",
"2040920245922066607","Sun Apr 05 22:31:19 +0000 2026","428","guys score segini kalo di snbt! bisa dapet apa? https://t.co/CI2Io05Lut","2040920245922066607","https://pbs.twimg.com/media/HFLOJe-WwAAoB_6.jpg","","in","","19","61","8","https://x.com/undefined/status/2040920245922066607","1515005472146812932",
"2038893198861574207","Tue Mar 31 08:16:34 +0000 2026","10918","YA ALLAH MAKASIH BANYAK AKU LULUS SNBP https://t.co/nte2BvtRRy","2038893198861574207","https://pbs.twimg.com/media/HEuajp5bAAAf9SJ.jpg","","in","","26","162","244","https://x.com/undefined/status/2038893198861574207","1830808065081475072",
"2037880079372759106","Sat Mar 28 13:10:47 +0000 2026","2859","siap banget ya Allah lolos snbp tgl 31 maret 2026 terus ngurus daful nyari kosan nyari temen bikin jj cari barang ospek belajar motor belajar pretest cari info beasiswa semuanya akan ku usahakan ya Allah","2037880079372759106","","","in","","38","14","970","https://x.com/undefined/status/2037880079372759106","1627330573999181824",
"2039331293629137384","Wed Apr 01 13:17:24 +0000 2026","3482","GUE PUSING NGURUTIN JURUSAN BUAT SNBT ANJ SIALAN FAKK SNBP MERAH SIALAN","2039331293629137384","","","in","","67","77","616","https://x.com/undefined/status/2039331293629137384","1871548290099228672",
"2037308634145910869","Thu Mar 26 23:20:04 +0000 2026","2651","UDAH DITAHAP MIMPI BUKA PENGUMUMAN SNBP","2037308634145910869","","","in","","129","36","395","https://x.com/undefined/status/2037308634145910869","1724792756407828480",
"2037591733916360957","Fri Mar 27 18:05:00 +0000 2026","1497","kakak nya lewat mulu beneran lolos snbp sih ini aku AAMIIN https://t.co/mPtm2MOnP1","2037591733916360957","https://pbs.twimg.com/media/HEb64R2awAAtPHy.jpg","","in","","11","10","159","https://x.com/undefined/status/2037591733916360957","1817481441942593536",
"2039310347103019390","Wed Apr 01 11:54:09 +0000 2026","2954","Allah ga lolosin aku di snbp karena mungkin bisa ngejalanin utbk ya? TP skor to ku aja ga pernah naik naik aku bisa utbk dr mananyaaa aku mah bakal santai aja klo skor ku udh gede kepala 7++ tp ini aja masihh stuck di 500 ga naik naik... yaAllah emg aku sanggup ya?","2039310347103019390","","","in","","36","32","512","https://x.com/undefined/status/2039310347103019390","1754103533002264576",
"2039328171301200081","Wed Apr 01 13:04:59 +0000 2026","25153","ga kebayang reaksi itb ketika yang daftar snbp spek begini... gad dem","2039328171301200081","","","in","","63","32","979","https://x.com/undefined/status/2039328171301200081","1430073374865166337",
"2039141374138987002","Wed Apr 01 00:42:43 +0000 2026","3294","Ngawur banget lu bro adekmu gak lolos SNBP malah diketawain https://t.co/49CR6Ik9A6","2039141374138987002","https://pbs.twimg.com/ext_tw_video_thumb/2039141350931914752/pu/img/MPK7yhjklk_HInhH.jpg","","in","","46","117","237","https://x.com/undefined/status/2039141374138987002","1612447931768131585",
"2037931966230864218","Sat Mar 28 16:36:58 +0000 2026","977","yaallah tolong mudahkan jalan untuk lolos snbp di prodi ku itu jadikan aku pembuka jalan bagi adek adekku akt 27","2037931966230864218","","","in","","12","12","295","https://x.com/undefined/status/2037931966230864218","1750382025960521728",
"2038595955772318041","Mon Mar 30 12:35:25 +0000 2026","3104","aku yakin banget! aku kamu dan kita semua pasti lolos snbp besok sore ","2038595955772318041","","","in","","12","29","705","https://x.com/undefined/status/2038595955772318041","1872628969901842432",
"2039594293766369597","Thu Apr 02 06:42:28 +0000 2026","0","3.900 Siswa Lolos SNBP 2026 di Universitas Brawijaya Ini Cara Daftar Ulangnya https://t.co/F3tU6Ex1sv https://t.co/32KYBukvxi","2039594293766369597","https://pbs.twimg.com/media/HE4YM0Bb0AA-xOB.jpg","","in","","0","0","0","https://x.com/undefined/status/2039594293766369597","23343960",
"2037453222751969514","Fri Mar 27 08:54:37 +0000 2026","1085","Mawu lulus snbp aja mentok","2037453222751969514","","","in","","6","4","235","https://x.com/undefined/status/2037453222751969514","1750382025960521728",
"1986739363280265262","Fri Nov 07 10:15:50 +0000 2025","0","Dapat Nilai Nol di TKA Apakah Masih Bisa Daftar SNBP 2026? Baca selengkapnya: https://t.co/ZDd1XFrC1U ~RKD #Nilai #Nol #TKA","1986739363280265262","","","in","","0","0","0","https://x.com/undefined/status/1986739363280265262","23343960",
"2037412835781992958","Fri Mar 27 06:14:08 +0000 2026","2955","tambahan juga guys berhubung jumat anak snbp bisa amalin alwaqiah dibaca 14× sampe sblm waktu maghrib (matahari tenggelam) di hari jumat. insyaallah klo allah berkehendak hajat kita dipermudah.","2037412835781992958","","","in","","5","10","272","https://x.com/undefined/status/2037412835781992958","1750382025960521728",
"2038796721908789509","Tue Mar 31 01:53:12 +0000 2026","556"," Pengumuman SNBP 2026 Saat yang ditunggu akhirnya tiba Hasil seleksi SNBP 2026 dapat kamu cek mulai: ️ 31 Maret 2026 ⏰ Pukul 15.00 WIB Cek hasil kelulusan melalui: https://t.co/3BNxvjTgZk https://t.co/qLNaaVxoFq (mirror Unpad) https://t.co/S0psGzWw3V","2038796721908789509","https://pbs.twimg.com/media/HEtC0D_a4AA-bT5.jpg","","in","","66","64","58","https://x.com/undefined/status/2038796721908789509","51010742",
"2039260226503979319","Wed Apr 01 08:35:00 +0000 2026","664","ptn! agak nyesel dapet snbp di luar jawa. biaya hidup &amp; tiket pesawat mahal bgt. mending gue kaga daftar dri awal kalo tau bakal keterima. boleh ga sih slot gue dikasih ke orang lain aja? sayangg bgt slotnya angusss","2039260226503979319","","","in","","140","209","3","https://x.com/undefined/status/2039260226503979319","1205629250423779328",
